,nuclear,geothermal,biomass,coal,wind,solar,hydro,gas,oil,unknown,hydro discharge,battery discharge,zone,date
186,0,0,0,0,0,29,0,386,0,0,0,0,US-FLA-TAL,2024-05-18T18:00:00.000Z
187,0,0,0,349,0,970,0,1037,0,338,0,0,US-FLA-TEC,2024-05-18T18:00:00.000Z
188,31285,0,0,12274,974,3149,2220,30814,218,616,0,1,US-MIDA-PJM,2024-05-18T18:00:00.000Z
189,0,0,0,1278,282,0,0,645,0,0,0,0,US-MIDW-AECI,2024-05-18T18:00:00.000Z
190,0,0,0,4006,0,15,68,2,0,0,0,0,US-MIDW-LGEE,2024-05-18T18:00:00.000Z
191,9859,0,0,14929,17121,4613,1139,26080,0,225,0,0,US-MIDW-MISO,2024-05-18T18:00:00.000Z
192,3512,0,531,11,162,227,1890,4005,0,128,0,9,US-NE-ISNE,2024-05-18T18:00:00.000Z
193,0,0,0,0,76,11,1138,0,0,75,0,0,US-NW-AVA,2024-05-18T18:00:00.000Z
194,988,0,0,0,2202,75,7501,10,0,118,0,0,US-NW-BPAT,2024-05-18T18:00:00.000Z
195,0,0,0,0,0,0,1312,0,0,0,0,0,US-NW-CHPD,2024-05-18T18:00:00.000Z
196,0,0,0,0,0,0,726,0,0,0,0,0,US-NW-DOPD,2024-05-18T18:00:00.000Z
197,0,0,0,0,0,0,1021,0,0,0,0,0,US-NW-GCPD,2024-05-18T18:00:00.000Z
198,0,0,0,0,355,145,0,225,0,0,0,0,US-NW-GRID,2024-05-18T18:00:00.000Z
199,0,0,0,0,167,337,1092,0,0,24,0,0,US-NW-IPCO,2024-05-18T18:00:00.000Z
200,0,0,0,84,63,2979,0,4829,0,205,0,0,US-NW-NEVP,2024-05-18T18:00:00.000Z
201,0,0,0,324,1011,135,582,1,20,0,0,0,US-NW-NWMT,2024-05-18T18:00:00.000Z
202,0,0,0,350,2235,1913,223,734,0,117,0,0,US-NW-PACE,2024-05-18T18:00:00.000Z
203,0,0,0,0,204,277,183,0,0,15,0,0,US-NW-PACW,2024-05-18T18:00:00.000Z
204,0,0,0,0,0,0,249,0,0,6,0,0,US-NW-PGE,2024-05-18T18:00:00.000Z
205,0,0,0,789,2718,974,10,463,0,234,0,0,US-NW-PSCO,2024-05-18T18:00:00.000Z
